Letzte 100 Einträge
address,total_coinbase,total_tx_fees,total_gain,doppelbloecke,win_rate
SP70B98HWSFY2M7JB6V6P563TR3JSBWW3S43GS8M,11000,1663,12663,1,10.58
SP30ZB6GC6D95BF9QV9CB43TZCAJ70SWYW08YZEZA,37000,8514,45514,8,38.03
SPVYF6M3FD0738FWDGDMJ84EFMGM38JS0N7DE42K,22000,2273,24273,3,20.28
SPHB6E6GNWH55X9PZ3KNYMCEKTVP7YP60A0GBKPK,16000,5826,21826,0,18.24
SP1GW59G8T3F3SYNB3PY3KT73RPXH7H42HBCGR8M7,12000,3402,15402,1,12.87

Summe,98000,21678,119678,13

Letzte 200 Einträge
address,total_coinbase,total_tx_fees,total_gain,doppelbloecke,win_rate
SP30ZB6GC6D95BF9QV9CB43TZCAJ70SWYW08YZEZA,54000,11599,65599,10,27.86
SPVYF6M3FD0738FWDGDMJ84EFMGM38JS0N7DE42K,37000,3731,40731,5,17.30
SP70B98HWSFY2M7JB6V6P563TR3JSBWW3S43GS8M,23000,4653,27653,2,11.74
SPHB6E6GNWH55X9PZ3KNYMCEKTVP7YP60A0GBKPK,46000,11172,57172,5,24.28
SP1GW59G8T3F3SYNB3PY3KT73RPXH7H42HBCGR8M7,38000,6329,44329,3,18.82

Summe,198000,37484,235484,25

Letzte 500 Einträge
address,total_coinbase,total_tx_fees,total_gain,doppelbloecke,win_rate
SP30ZB6GC6D95BF9QV9CB43TZCAJ70SWYW08YZEZA,114000,18328,132328,17,23.30
SP70B98HWSFY2M7JB6V6P563TR3JSBWW3S43GS8M,76000,12198,88198,9,15.53
SPHB6E6GNWH55X9PZ3KNYMCEKTVP7YP60A0GBKPK,128000,20732,148732,13,26.19
SP1GW59G8T3F3SYNB3PY3KT73RPXH7H42HBCGR8M7,92000,11672,103672,8,18.26
SPVYF6M3FD0738FWDGDMJ84EFMGM38JS0N7DE42K,87000,7976,94976,11,16.72

Summe,497000,70906,567906,58

Letzte 1000 Einträge
address,total_coinbase,total_tx_fees,total_gain,doppelbloecke,win_rate
SPVYF6M3FD0738FWDGDMJ84EFMGM38JS0N7DE42K,183000,12800,195800,26,17.89
SP1GW59G8T3F3SYNB3PY3KT73RPXH7H42HBCGR8M7,178000,16366,194366,13,17.76
SP70B98HWSFY2M7JB6V6P563TR3JSBWW3S43GS8M,161000,16734,177734,13,16.24
SPHB6E6GNWH55X9PZ3KNYMCEKTVP7YP60A0GBKPK,270000,28305,298305,31,27.26
SP30ZB6GC6D95BF9QV9CB43TZCAJ70SWYW08YZEZA,205000,22992,227992,31,20.84

Summe,997000,97197,1094197,114

Letzte 5000 Einträge
address,total_coinbase,total_tx_fees,total_gain,doppelbloecke,win_rate
SPVYF6M3FD0738FWDGDMJ84EFMGM38JS0N7DE42K,998000,17105,1015105,95,19.92
SP1GW59G8T3F3SYNB3PY3KT73RPXH7H42HBCGR8M7,897000,20103,917103,86,18.00
SP30ZB6GC6D95BF9QV9CB43TZCAJ70SWYW08YZEZA,925000,26753,951753,126,18.68
SP70B98HWSFY2M7JB6V6P563TR3JSBWW3S43GS8M,897000,21011,918011,94,18.02
SPHB6E6GNWH55X9PZ3KNYMCEKTVP7YP60A0GBKPK,1250000,33738,1283738,126,25.20
SP2ZK3CZC2PGEEGSA6P2C6KGHMRFPW3ZCKEGZ04KY,3000,2,3002,0,0.06
SP1XKARYTKZ59V79PHQFPP5VWC5F41G1WEE6337TS,6000,2,6002,1,0.12

Summe,4976000,118714,5094714,528

