"--- BEREICH: 100 BLÖCKE (BTC 962117 bis 962217) | BTC $63390.0, STX $0.122714 ---"
BTC-Addr,STX-Addr,Commits,BTC-Total,STX-Gain,Profit $,Slot Win,Market Share,STX Share %,Multi-Blocks,Efficiency,Luck,Theo ROI,ROI
bc1qzyccvth6gnlv7d3t67dwrswyxuffcrjqumwcwv,SP8K31HEZ92FXKSP5FBSNRE1RGVH570E80X4M1K2,76,0.040282,32579.33,1444.48,19.35%,24.50%,32.10%,6,1.31,1.24,19.48%,56.57%
bc1qxlne4qmmgpc6rlrvrdyjprnay9q6ykg98gz2j3,SPVYF6M3FD0738FWDGDMJ84EFMGM38JS0N7DE42K,76,0.028923,23299.31,1025.74,13.59%,17.20%,22.96%,7,1.33,1.10,16.85%,55.95%
12H9DtpmYh9XyCDE9kDYZ14KpgEAQwoZt1,SP70B98HWSFY2M7JB6V6P563TR3JSBWW3S43GS8M,72,0.029419,20258.37,621.14,14.81%,18.75%,19.96%,5,1.06,0.81,25.21%,33.31%
bc1qv8p2vzxsmc7042cahsu73c79hvfufq52q9n69r,SP1GW59G8T3F3SYNB3PY3KT73RPXH7H42HBCGR8M7,71,0.028879,17277.88,289.61,13.31%,16.85%,17.02%,2,1.01,1.13,14.64%,15.82%
bc1qc86e5rpn2f2m6d76tzeq7hmz53cx08hqw8uhl7,SP30ZB6GC6D95BF9QV9CB43TZCAJ70SWYW08YZEZA,76,0.038197,8075.82,-1430.27,17.94%,22.70%,7.96%,1,0.35,0.45,16.78%,-59.07%
--- Metastack ---,Wins: 42/41.7,219,0.087220,60835.56,$1936.49,41.71%,Mkt: 52.8%,STX: 59.9%,14,Eff: 1.14,L: 1.01,Theo: 18.94%,35.02%
--- Gruppe: SP30 + SP8K ---,Wins: 32/37.3,152,0.078478,40655.15,$14.21,37.29%,Mkt: 47.2%,STX: 40.1%,7,Eff: 0.85,L: 0.86,Theo: 18.17%,0.29%
STRATEGIE,Leere Blöcke: 21 / 100,Aktiv: 79.0%,,,Max Limit / Aktiv-Block:,Break-Even: 248698 Sats,ROI 5%: 236855 Sats,ROI 10%: 226089 Sats,ROI 15%: 216259 Sats,,,,

"--- BEREICH: 200 BLÖCKE (BTC 962017 bis 962217) | BTC $63390.0, STX $0.122714 ---"
BTC-Addr,STX-Addr,Commits,BTC-Total,STX-Gain,Profit $,Slot Win,Market Share,STX Share %,Multi-Blocks,Efficiency,Luck,Theo ROI,ROI
bc1qzyccvth6gnlv7d3t67dwrswyxuffcrjqumwcwv,SP8K31HEZ92FXKSP5FBSNRE1RGVH570E80X4M1K2,162,0.085825,61608.40,2119.77,21.06%,25.22%,30.45%,7,1.21,1.21,15.10%,38.96%
12H9DtpmYh9XyCDE9kDYZ14KpgEAQwoZt1,SP70B98HWSFY2M7JB6V6P563TR3JSBWW3S43GS8M,158,0.064496,40754.62,912.77,16.06%,19.23%,20.15%,8,1.05,0.97,16.78%,22.33%
bc1qv8p2vzxsmc7042cahsu73c79hvfufq52q9n69r,SP1GW59G8T3F3SYNB3PY3KT73RPXH7H42HBCGR8M7,156,0.063343,37866.74,631.46,15.09%,18.07%,18.72%,5,1.04,1.03,11.71%,15.73%
bc1qxlne4qmmgpc6rlrvrdyjprnay9q6ykg98gz2j3,SPVYF6M3FD0738FWDGDMJ84EFMGM38JS0N7DE42K,161,0.053886,31636.95,466.45,12.69%,15.19%,15.64%,9,1.03,0.83,10.42%,13.66%
bc1qc86e5rpn2f2m6d76tzeq7hmz53cx08hqw8uhl7,SP30ZB6GC6D95BF9QV9CB43TZCAJ70SWYW08YZEZA,162,0.077514,30435.26,-1178.75,18.61%,22.28%,15.04%,4,0.68,0.73,12.58%,-23.99%
--- Metastack ---,Wins: 83/87.7,475,0.181725,110258.30,$2010.68,43.83%,Mkt: 52.5%,STX: 54.5%,22,Eff: 1.04,L: 0.95,Theo: 13.13%,17.45%
--- Gruppe: SP30 + SP8K ---,Wins: 78/79.3,324,0.163339,92043.67,$941.02,39.67%,Mkt: 47.5%,STX: 45.5%,11,Eff: 0.96,L: 0.98,Theo: 13.90%,9.09%
STRATEGIE,Leere Blöcke: 33 / 200,Aktiv: 83.5%,,,Max Limit / Aktiv-Block:,Break-Even: 234507 Sats,ROI 5%: 223340 Sats,ROI 10%: 213188 Sats,ROI 15%: 203919 Sats,,,,

"--- BEREICH: 500 BLÖCKE (BTC 961717 bis 962217) | BTC $63390.0, STX $0.122714 ---"
BTC-Addr,STX-Addr,Commits,BTC-Total,STX-Gain,Profit $,Slot Win,Market Share,STX Share %,Multi-Blocks,Efficiency,Luck,Theo ROI,ROI
bc1qzyccvth6gnlv7d3t67dwrswyxuffcrjqumwcwv,SP8K31HEZ92FXKSP5FBSNRE1RGVH570E80X4M1K2,367,0.194386,146826.74,5695.58,18.38%,24.50%,28.82%,33,1.18,1.15,24.30%,46.22%
bc1qxlne4qmmgpc6rlrvrdyjprnay9q6ykg98gz2j3,SPVYF6M3FD0738FWDGDMJ84EFMGM38JS0N7DE42K,362,0.135416,102260.53,3964.76,12.68%,16.90%,20.07%,33,1.19,1.03,23.11%,46.19%
bc1qc86e5rpn2f2m6d76tzeq7hmz53cx08hqw8uhl7,SP30ZB6GC6D95BF9QV9CB43TZCAJ70SWYW08YZEZA,367,0.180997,104236.53,1317.87,16.92%,22.56%,20.46%,26,0.91,0.91,22.91%,11.49%
12H9DtpmYh9XyCDE9kDYZ14KpgEAQwoZt1,SP70B98HWSFY2M7JB6V6P563TR3JSBWW3S43GS8M,359,0.146317,83656.70,990.81,13.76%,18.34%,16.42%,21,0.90,0.84,23.64%,10.68%
bc1qv8p2vzxsmc7042cahsu73c79hvfufq52q9n69r,SP1GW59G8T3F3SYNB3PY3KT73RPXH7H42HBCGR8M7,355,0.143953,72457.18,-233.70,13.27%,17.69%,14.22%,13,0.80,0.84,21.21%,-2.56%
--- Metastack ---,Wins: 179/198.5,1076,0.425687,258374.40,$4721.87,39.71%,Mkt: 52.9%,STX: 50.7%,67,Eff: 0.96,L: 0.90,Theo: 22.65%,17.50%
--- Gruppe: SP30 + SP8K ---,Wins: 183/176.5,734,0.375383,251063.27,$7013.45,35.29%,Mkt: 47.1%,STX: 49.3%,59,Eff: 1.05,L: 1.04,Theo: 23.63%,29.47%
STRATEGIE,Leere Blöcke: 125 / 500,Aktiv: 75.0%,,,Max Limit / Aktiv-Block:,Break-Even: 262986 Sats,ROI 5%: 250463 Sats,ROI 10%: 239078 Sats,ROI 15%: 228683 Sats,,,,

"--- BEREICH: 1000 BLÖCKE (BTC 961217 bis 962217) | BTC $63390.0, STX $0.122714 ---"
BTC-Addr,STX-Addr,Commits,BTC-Total,STX-Gain,Profit $,Slot Win,Market Share,STX Share %,Multi-Blocks,Efficiency,Luck,Theo ROI,ROI
bc1qzyccvth6gnlv7d3t67dwrswyxuffcrjqumwcwv,SP8K31HEZ92FXKSP5FBSNRE1RGVH570E80X4M1K2,702,0.371975,278731.37,10624.72,17.31%,24.07%,27.53%,75,1.14,1.11,26.83%,45.06%
bc1qxlne4qmmgpc6rlrvrdyjprnay9q6ykg98gz2j3,SPVYF6M3FD0738FWDGDMJ84EFMGM38JS0N7DE42K,695,0.270415,194784.42,6761.17,12.43%,17.28%,19.24%,66,1.11,0.98,25.26%,39.44%
bc1qc86e5rpn2f2m6d76tzeq7hmz53cx08hqw8uhl7,SP30ZB6GC6D95BF9QV9CB43TZCAJ70SWYW08YZEZA,702,0.350250,217033.56,4430.72,16.20%,22.52%,21.44%,60,0.95,0.93,26.03%,19.96%
12H9DtpmYh9XyCDE9kDYZ14KpgEAQwoZt1,SP70B98HWSFY2M7JB6V6P563TR3JSBWW3S43GS8M,692,0.282070,172413.57,3277.13,13.04%,18.14%,17.03%,45,0.94,0.87,26.00%,18.33%
bc1qv8p2vzxsmc7042cahsu73c79hvfufq52q9n69r,SP1GW59G8T3F3SYNB3PY3KT73RPXH7H42HBCGR8M7,690,0.279799,149358.78,591.96,12.93%,17.98%,14.75%,34,0.82,0.87,25.94%,3.34%
